"","factor_list","n","cv","co-efficients","p-values","RMSE","RSS","adjR","model_p_sign"
"551","Q1 Q3 xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 1","0.00459480419077363, 0.00823794370587056, -0.00877714675168292, 0.570439938973421, 0.0126631473986166, 0.00110137118070462","0.0512554649369128, 0.0448741258133893, 0.0276583471220816, 2.8973536843011e-08, 0.0230530846457549, 0.00806853373949607","0.0110368752774991","0.00931533593659086","0.615989424896792","5.24779195776004e-11"
"552","Q1 Q3 xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 2","0.0071648584090851, 0.00522609562629894, -0.0140226752587868, 0.613114548229127, 0.0105692326759224, 0.00224424503850464","0.000204062808894799, 0.0880557210421056, 1.68823829741975e-05, 2.91353128408741e-11, 7.6648942405372e-06, 0.213942751042381","0.00853432117175583","0.00519835461514015","0.704412655923593","6.03228698065185e-14"
"553","Q1 Q3 xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 3","0.00613714414824152, 0.00787424722041754, -0.00727628867566158, 0.584651782545653, 0.00160102238318771, 0.00203833223234579","0.00316448022533159, 0.0209981329652851, 0.0309116799220327, 2.53701172994712e-09, 0.689416451105421, 0.466125114411159","0.00967843858893317","0.00777518159315205","0.549436387781314","3.15542866979505e-09"
"554","Q1 Q3 xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 4","0.00367077952901203, 0.00968221873791467, -0.0074811721317139, 0.689123416649478, 5.13850014075469e-05, 0.00199285479000883","0.0333764511352459, 0.0010602005578108, 0.0123956320201481, 3.62734571103912e-14, 0.987474496145556, 0.0136686696634338","0.00817977731706363","0.00653608309095398","0.709394881523252","3.87877648279117e-14"
"555","Q1 Q3 xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 5","0.00187079938115025, 0.0115313854794982, -0.00793027416228694, 0.585567515574898, 0.000690305967099055, 0.000981915190304364","0.390607797950121, 0.00172701803812098, 0.0245228059649857, 1.7405579943292e-10, 0.856995476430001, 0.0162057612718594","0.0101411765408956","0.00775110568036188","0.627922092353182","2.32774849917722e-11"
"556","Q1 Q3 xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 6","0.00562462612474058, 0.0105030549511729, -0.00874272658059493, 0.452331095130852, 0.00207393100064777, -0.00141941036138765","0.00877552987749437, 0.0068265474573302, 0.0329946218010232, 2.02535793075582e-05, 0.62920406611388, 0.502420072279924","0.0107750826662375","0.00942898101844006","0.398291098467858","4.63508806170002e-06"
"557","Q1 Q3 xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 7","0.000306675805619956, 0.0114539913360442, -0.00488813112142824, 0.814581792539926, 0.00372993520473686, 0.000917894028502636","0.898062631876973, 0.00405257205127258, 0.201223077090598, 1.2675597996084e-10, 0.373600035808914, 0.0305384466291363","0.0112662024479098","0.00989805390680527","0.648652385456926","5.30409823869737e-12"
"558","Q1 Q3 xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 8","0.00402264967110879, 0.0115234855649215, -0.00651239655662142, 0.619634026293806, 0.00280715309827935, -0.00587139828048804","0.0888528148688818, 0.00272596123742317, 0.0951344775875709, 1.93131233665144e-08, 0.476430892176204, 0.0944399569747925","0.0110413719969792","0.0100900228550128","0.527080544865313","1.0833903653035e-08"
"559","Q1 Q3 xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 9","0.00627219266477523, 0.0127476025937349, -0.00667395771110009, 0.506304249759553, 0.00668590257404603, 0.0013720488147314","0.00974804045197324, 0.00218750305993292, 0.0793286743184233, 1.6221296191899e-07, 0.0106894958032327, 0.00138480289917919","0.0112740398706574","0.010670584973948","0.606055519297747","1.0121561990839e-10"
"560","Q1 Q3 xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 10","0.00509268914799896, 0.0117713806664742, -0.00979548223092303, 0.506583007131858, 0.00755416180632922, 0.00216889667421924","0.0230821396958171, 0.00101449850183135, 0.00570755183084009, 1.92426903635271e-07, 0.00286517292200117, 0.0282015152154956","0.010035067616267","0.00868421266401375","0.593208467014288","2.30780218508915e-10"
"561","Q1 Q3 xYield_NYXRSA xYield_SDXRSA xYield_TB3MS","6","cv 1","0.00277598354033068, 0.0127269373778065, -0.00672843964183789, 0.180661324865193, 0.359172406811224, 0.0077756450374581","0.202236600355376, 0.000312153742166202, 0.0561637584850153, 0.133921885644706, 1.90703036515275e-06, 0.00225651034960732","0.00985894689442662","0.0073112540919397","0.718607938244439","1.67874248724931e-14"
"562","Q1 Q3 xYield_NYXRSA xYield_SDXRSA xYield_TB3MS","6","cv 2","0.00152815640319469, 0.0138467672402469, -0.0110929328414871, 0.173703398773758, 0.354767037566929, 0.00665481960640035","0.503039798656197, 0.000465462690529311, 0.0196028187210591, 0.29225103267905, 0.0015296495842286, 0.00995899300521021","0.0115730091083287","0.0106231851812622","0.603399428863231","1.20294857180039e-10"
"563","Q1 Q3 xYield_NYXRSA xYield_SDXRSA xYield_TB3MS","6","cv 3","0.00397850213547164, 0.0109530697288101, -0.0110523144419238, 0.198520518352227, 0.347391986135739, 0.00160067307437588","0.0815433390302521, 0.00344626591852055, 0.0015871483571596, 0.0762437461172065, 9.57371540514897e-06, 0.714763452447096","0.0101893863500779","0.00780300176788665","0.659953466761521","2.27857403081661e-12"
"564","Q1 Q3 xYield_NYXRSA xYield_SDXRSA xYield_TB3MS","6","cv 4","0.000417624792556467, 0.00841999620836026, -0.0073278442886716, 0.299226673171004, 0.317762109990642, 0.0102718648250359","0.818322493050613, 0.00797029510392603, 0.025412314669367, 0.00449886335063436, 1.60800989748336e-06, 1.67306989325425e-05","0.00887020886681289","0.00575227042588217","0.706444895001255","5.0426208779864e-14"
"565","Q1 Q3 xYield_NYXRSA xYield_SDXRSA xYield_TB3MS","6","cv 5","0.0045240151814371, 0.00932798357081464, -0.00984523117072867, 0.307525831562482, 0.21918924160738, 0.0102536384591199","0.0127723932446761, 0.00677691591365216, 0.00383075736189103, 0.00495078679877357, 0.00156982717717184, 3.80001214415568e-05","0.00916493826654222","0.00641092814477501","0.719039289082802","1.61308505298141e-14"
"566","Q1 Q3 xYield_NYXRSA xYield_SDXRSA xYield_TB3MS","6","cv 6","0.00223938734690491, 0.0129978246459397, -0.0088280652350324, 0.324355721930834, 0.265666435170633, 0.00720611289521409","0.316168767210153, 0.0018748358121237, 0.0304410055748378, 0.0103597482601843, 0.000409115425030689, 0.00611081795244388","0.0115061885507699","0.0103981632222778","0.607399872707476","9.27011527026993e-11"
"567","Q1 Q3 xYield_NYXRSA xYield_SDXRSA xYield_TB3MS","6","cv 7","0.00397162844402613, 0.00936318678795007, -0.0144549506866862, 0.314279529373974, 0.198730579816594, 0.00671234945084565","0.0704500585544269, 0.0119050297956185, 0.00063192601664268, 0.0116780023204378, 0.00842889789213645, 0.230078359687217","0.0109342535453133","0.00898643880333312","0.554422519866856","2.37524197389989e-09"
"568","Q1 Q3 xYield_NYXRSA xYield_SDXRSA xYield_TB3MS","6","cv 8","0.00302597051524971, 0.0111899170354203, -0.00744470075987365, 0.220113168956805, 0.319480038112803, -0.00433025817460386","0.0729613683820891, 0.000369479039835222, 0.0309966240506533, 0.0253366764440356, 1.60487240363204e-05, 0.200957725972889","0.0087631799150641","0.00556321246934419","0.631880876255265","1.76684059786104e-11"
"569","Q1 Q3 xYield_NYXRSA xYield_SDXRSA xYield_TB3MS","6","cv 9","0.00392397930586848, 0.0103087644026301, -0.0117301197312237, 0.202475326441608, 0.27568296008013, 0.00593323321290499","0.0278247350445647, 0.00123965116734946, 0.000244859568713295, 0.0463882827909181, 1.88314320034251e-05, 0.00344883100282001","0.00855137608353728","0.00698468119273366","0.719776919839385","1.50648318945441e-14"
"570","Q1 Q3 xYield_NYXRSA xYield_SDXRSA xYield_TB3MS","6","cv 10","0.00270629879863137, 0.0146799939924432, -0.00780157670551081, 0.251432323154171, 0.211702850664158, 0.00519621067248555","0.167139632308201, 6.49144422227745e-06, 0.0168887684676858, 0.0258238503994359, 0.00328647030917553, 0.0122273503074072","0.00900190121755577","0.00684196693371251","0.672568209389604","8.56728723568235e-13"
